@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'korupsi tunjang wali kota sidang',medan,3/5
'dakwa wahyu indra hadap ds','',25/4
'pasang suami istri jerat kasus korupsi',bojonegoro,25/4
'jabat t periksa kait korupsi benih','jakarta selatan',15/4
'bocah enam tewas timbun longsor','',19/4
'rusak longsor lampung','lampung barat',19/4
'timbun longsor','ogan komering ulu',2/5
'evakuasi korban longsor henti',garut,20/4
'investigasi longsor freeport tunggu evakuasi','',18/5
'timbun longsor lintas macet',mamasa,27/4
'longsor timbun',kebumen,15/4
'longsor jalur alternatif bandunggarut',bandung,16/4
'longsor telaga ngebel putus',ponorogo,8/5
'nasib 27 karyawan pt freeport korban longsor','',15/5
'gabung cari korban longsor gali pasir',sukabumi,29/4
'korban longsor temu',garut,21/4
'karyawan pabrik kasus mi formalin',yogyakarta,27/4
'bnn jaring kader antinarkoba usaha telekomunikasi','',15/5
'bnn tangkap atlet catur pon',denpasar,19/4
'tumpang lion air tangkap bawa pil koplo',sidoarjo,1/5
'gerebek kampung narkoba polisi tangkap',medan,20/4
'kabur kemudi tangkap bawa narkoba',metro,27/4
'anggota polisi tangkap pesta narkoba',bekasi,30/4
'miliki sabu polisi ringkus sekolah sman',tangerang,22/5
'nyabu lanal tangkap bnn',semarang,29/4
'pakai narkoba lini',yogyakarta,1/5
'polisi sita ganja 500 kg cipayung','jakarta timur',6/5
'polisi tangkap pg sabu','tangerang selatan',2/5
'polsek jaring tangkap 900 gram ganja','jakarta utara',19/4
'pabrik kosmetik ilegal purwokerto digerebek',banyumas,15/5
'17 anggota dprd langgar disiplin',temanggung,15/4
'10 perempuan korban langgar ham saksi',kupang,27/4
'pelindo tuding langgar uu layar',sorong,16/4
'aktivis statement dahlan iskan leceh perempuan',madiun,6/5
'karyawati toko korban leceh bus transjakarta','jakarta barat',23/5
'kasus wakepsek sma 22 polisi diskriminatif','jakarta timur',12/4
'siswi smp tolak ikuti un leceh kepsek',serang,22/4
'bom rakit malu tangkap',ambon,16/4
'lempar bom molotov 20 ajar tangkap',yogyakarta,14/5/2013
'smk 3 lempar molotov polisi luka',yogyakarta,14/5
'polisi bali palak turis hukum kurung','',16/4
'djohar arifin polda',bengkulu,17/5
'bandar narkoba bacok rampas senjata polisi',bangkalan,20/4
'selingkuh istri bacok suami','',25/4
'bajak bus mayasari 54 ajar polisi','',18/4
'kantor kades sumbermanjing wet bakar',malang,29/4
'4 bunuh perkosa siswa smk umur',depok,25/4
'8 bunuh obed misa tangkap 24 jam',tangerang,13/5/2013
'angga akui bunuh amel lantar minta nikah',tegal,2/5
'anggota polres kalas perkosa bunuh siswa smk maguwoharjo',yogyakarta,24/4
'ayah bunuh duga racuni anak','',5/5
'bapak anak bunuh siswa smk ypkk',yogyakarta,24/4
'bunuh pacar calon mertua anggota tni vonis mati',bandung,24/4
'duga stres suami gorok leher istri',kupang,4/5
'garagara gila polisi tangkap',kendari,16/4/2013
'hukum bocah bunuh main timbang',bekasi,25/4
'ma vonis mati mutilasi ibu anak','jakarta utara',30/4
'bunuh keluarga sulteng ancam 20',kendari,20/4
'suami bunuh istri terhimpit ekonomi','jakarta utara',14/5
'wartawan gadungan peras pns pemda dki','jakarta selatan',9/7
