air,ajar,aksi,alat,alias,ambil,anak,ancam,anggota,aniaya,api,arah,ayat,bahan,bakar,banjir,bantu,batas,bawa,bencana,beri,berita,bom,brankas,buah,bumi,bungkus,bunuh,butir,capai,cari,daerah,dagang,daging,dakwa,dampak,dana,dasar,data,daya,derajat,deras,edar,ganja,gas,gawai,geledah,gempa,genang,geng,getar,gudang,guna,guncang,hakim,hangus,harap,hektare,henti,himpun,hubung,hujan,hukum,humas,huni,ikan,ikat,impor,indikasi,informasi,inisial,isi,istri,jabat,jahat,jaksa,jalur,jam,jarak,jaring,jenazah,jiwa,kabid,kabur,kait,kamar,kampung,kanan,kantor,kasus,kawan,kebun,kejar,kelompok,keluarga,kembang,kena,kendara,keroyok,ketua,kios,kira,kirim,komisi,korupsi,kota,kuat,kunjung,lahan,landa,lantai,lapang,larang,lari,latih,laut,ledak,ledakan,lempar,letak,libat,lihat,lintas,luap,luas,luka,masyarakat,mata,mati,mayat,menahan,menang,menggerebek,menteri,minta,mobil,motor,muka,mukim,mula,narkoba,nilai,nyata,olah,operasi,pabrik,padam,padi,pajak,pakai,paksa,pelaku,penggerebekan,penjara,periksa,peristiwa,perkara,perkosa,pidana,pil,pimpin,potensi,proyek,pusat,putus,rampas,rampok,rangkai,razia,rekam,rekan,rektur,rendam,resah,richter,rugi,rusak,sabu,sebelah,sebut,sekolah,selidik,senjata,sentimeter,sepeda,serah,setinggi,sidang,sidik,sita,skala,suap,sungai,surat,tahan,tambah,tampak,tanam,tang,tegas,tektonik,tembak,temu,tenggara,terang,terima,teroris,terorisme,tiba,tim,timbul,timur,tindak,titik,toko,tsunami,tuju,tumpang,tuntut,turun,tutur,uang,ungkap,unit,urus,usaha,usia,vonis,wartawan,wilayah
13.725644,0,0,0,0,0,3.576845,3.619681,0,0,0,0,0,0,0,11.857905,0,0,0,0,0,0,0,0,0,0,0,0,0,3.576845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.822903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.106234,0,0,0,0,0,0,0,0,0,0,0,0,0,8.630058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.938052,0,0,0,0,0,0,0,0,5.611418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.955316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.560146,0,0,0,0,9.738405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.951093,0,0,3.665294
0,0,0,0,0,0,0,0,0,0,0,9.755102,0,0,0,15.360076,0,4.567295,0,0,0,0,0,0,0,0,0,0,0,9.903981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.307908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.571301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.061192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.312479,4.427277,0,0,0,0,0,0,0,0,0,0,0,0,3.180046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.427277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.735761,3.582452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.772317,0,0,0,0,0,0,0,0,3.890278,0,0,0,0
5.086962,2.962347,0,0,0,0,0,0,0,0,0,0,0,0,0,21.100694,0,0,0,0,0,0,0,0,0,0,0,0,0,2.580432,0,0,0,0,0,0,0,2.404809,0,0,0,0,0,0,0,0,0,0,17.779591,0,0,0,0,0,0,0,0,0,0,0,0,3.289812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.289812,0,0,0,0,0,0,0,3.562443,0,0,0,0,0,0,0,0,0,2.551307,0,0,0,0,0,0,0,0,3.411158,0,0,0,2.962347,0,3.289812,0,0,0,0,0,0,0,3.289812,0,0,0,3.188957,5.04306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.903497,0,0,0,0,0,0,0,9.262952,0,0,0,0,0,0,0,0,0,0,0,3.289812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.644241
8.593976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.986962,3.49469,0,0,0,0,0,0,0,0,0,0,0,0,1.801536,0,3.823794,0,0,0,0,0,1.678924,0,0,0,0,0,0,0,0,0,0,6.264961,0,0,0,0,0,0,0,0,0,0,0,1.925467,4.499025,0,0,0,2.027085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.538759,0,0,0,0,0,0,3.747547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.929537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.296792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.547152,0,0,0,0,0,0,0,4.346668,0,0,2.38151,0,2.027085,0,0,0,0,0,0,0,0,1.761976,1.781203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.990032,0,0,3.033758,3.677284,0,0,0,0,0,1.846085
0,0,0,4.754968,0,0,0,0,0,0,0,0,0,0,0,0,4.627308,0,0,0,0,0,0,0,0,10.023337,0,0,0,0,0,0,0,0,0,0,5.580538,0,0,0,0,0,0,0,0,0,0,25.754347,0,0,0,0,4.171884,0,0,0,0,0,0,0,0,0,0,5.580538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.370782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.495281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.080994,0,0,0,0,5.080994,0,0,0,0,8.380443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.627308
0,0,0,0,0,0,5.534683,0,0,0,0,0,0,0,0,0,0,7.343136,0,4.059397,0,0,0,0,0,6.526775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.931542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.094465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.193054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.392191,3.053194,0,0,3.375589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90721,0,0,3.30853,0,0,0,0,0,0,0,0,0,0,0,0,3.193054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.375589,3.633811,0,0,0,0,0,0,0,0,0,0,0,7.094465,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30853,0,0,0,0,0,3.248054,0,0,0,0,0,2.518758,0,0,0,0,0,0,3.053194,0,0,0,0,0,0,0,0,0,0,0,0,0,3.142674,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.648159,0,0,0,0,0,0,0,0,0,0,0,0,0,12.854361,15.766874,0,0,0,0,0,0,24.004335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.383063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.516087,0,0,0,0,0,0,0,0,0,0,0,0,16.705071,0,0,0,0,0,0,0,0,0,0,0,7.65539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.480632,0,0,0,0,0,0,0,0,0,0,0,0,0,25.945789,12.997948,0,0,0,0,0,0,24.242962,0,0,6.086474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.957189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.086474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.602574,6.310976,0,0,0,0,0,0,0,0,0,5.602574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.700883,0,0,15.484307,0,0,11.709381,0,0,0,0,0,0,6.626886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.223129,0,0,0,0,0,0,12.009897,0,0,0,0,0,7.904874,0,6.001443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.324042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.666076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.433524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.433524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.354744,0,9.324042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.287886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.736683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
