@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'duga depresi akbar gantung pohon nangka','',7/8/2015
'jemput anak pulang sekolah wanita gantung',semarang,12/8/2015
'irt tewas gantung',manado,4/8/2015
'cerai ateng pilih bunuh','',22/5/2013
'gel linu kakek batu gantung','',11/8/2015
'ibu coba bunuh minyak tanah',mukomuko,5/5
'takut lulus uji nasional fanny gantung',tangerang,18/5/2013
'jin ayah kandung sayat leher bayi',serang,25/4/2013
'2 gagal polda bali konfrontir saksi margareta',denpasar,6/8/2015
'8 bunuh obed misa tangkap 24 jam',tangerang,13/5/2013
'angga akui bunuh amel lantar minta nikah',tegal,2/5
'anggota polres kalas perkosa bunuh siswa smk maguwoharjo',yogyakarta,24/4
'arab saudi penggal 40','',14/5/2013
'ayah bunuh duga racuni anak','',5/5
'bapak anak bunuh siswa smk ypkk',yogyakarta,24/4
'cucu tewas kapak menghujam dada','',''
'delapan bunuh citra raya bekuk',bandung,''
'garagara gila polisi tangkap',kendari,16/4/2013
'karyawan pt vonex tewas bunuh kades',bandung,19/6/2015
'ajar smk ypkk bunuh hamil muda',sleman,25/4
'bunuh nyata suami istri',sampang,23/8/2015
'bunuh istri anak dadak sesak lihat polisi',malang,4/8/2015
'bunuh keluarga sulteng ancam 20',kendari,20/4
'derita ganggu jiwa tewas bunuh',subang,21/5
'polisi rekonstruksi kasus bunuh siswa smk ypkk',yogyakarta,25/4
'pria bunuh orangtua anak kandung',kendari,''
'guru bunuh kamar hotel','jakarta utara',14/5/2013
'suami bunuh istri terhimpit ekonomi','jakarta utara',14/5
'tolak rujuk guru tk bunuh suami',bekasi,24/4/2013
'alas kades bunuh karyawan pt vonex',bandung,24/8/2015
'polisi buru bunuh kakek 69',metro,30/4
'polisi buru rakit bom mampang','jakarta selatan',6/5/2013
'polisi temu bahan kimia campur bom',bangka,2/5/2013
'polisi tangkap pelaku bom',ambon,16/4/2013
'bom rakit temu kamar kos',karanganyar,13/8/2015
'geledah 1 jam solo densus 88 temu bom rakit','',13/8/2015
'polisi temu puluh bom rakit',poso,12/6/2013
'kantor ksbsi teror bom','jakarta timur',''
'20 tewas ledakan pakistan','',''
'dampak kejar teroris ratus tani kebun',poso,23/08/2015
'densus 88 bawa rangkai bom',bangka,2/5
'densus 88 gerebek duga teroris mampang',bangka,2/5
'densus 88 tangkap duga teroris',surakarta,''
'densus tangkap duga teroris kebayoran',bangka,''
'duga teroris tangkap mampang',bangka,3/5
'jenazah bastari makam',batang,21/5/2013
'jenazah teroris abu roban makam',batang,25/5
'kapolri nyata duga teroris melawan tangkap',bandung,''
'keluarga pasrah ovi tangkap densus 88 antiteror','jakarta pusat',2/5
'keluarga duga teroris ovi bekas nii',cilacap,2/5/13
'cari napi teroris kabur fokus',poso,19/4/2013
'polda sulteng buru pidana teroris kabur lp',palu,24/4
'polisi geledah duga teroris joyontakan',surakarta,''
'polisi duga teroris',bandung,''
'polri duga teroris simpan bahan ledak',bangka,3/5/2013
'polri tahan 10 duga teroris',kendal,8/5
'polri kejar duga teroris',karo,2/5
'densus gerebek duga tereroris benhil',bangka,2/5
'2000 polri tangkap 845 duga teroris',bandung,15/5
'duga teroris jaring maksum tangkap solo',bandung,14/5/2013
'duga teroris cigondewah lulus iain jakarta',bandung,10/5/2013
'duga teroris asli mampang','jakarta selatan',3/5
'tim densus 88 lempar gas air mata teroris',batu,''
'jabat t periksa kait korupsi benih','jakarta selatan',15/4
'banding tolak hartati murdaya tetap ditahan',buol,24/4/2013
'bareskrim polri tahan korupsi bph migas','',15/4
'bareskrim tahan bph migas','',15/4
'bekas wali kota tenang vonis 35',salatiga,23/4/2013
'bupati mandailing natal tangkap kpk','mandailing natal',15/5
'buron korupsi tangkap sarinah',enrekang,''
'dendy sali curi berkas proyek menteri','',25/4
'adil priyo sebut terima duit proyek alquran',batu,6/5/2013
'duga korupsi bekas kades ditahan polres',probolinggo,4/8/2015
'djabar tuntut 12 penjara denda rp500','gunung mas',24/11/2011
'buron adik kandung bupati bekuk','kepulauan sula',22/8/2015
'eks nas sehat tangsel tuntut 5 penjara','tangerang selatan',12/8/2015
'gmni sumut desak wali kota ditahan',medan,20/5/2013
'jaksa sebut alir rp1 miliar simulator sim tim itwasum',bekasi,23/4
'jaksa tahan eks daop iv pt kai',semarang,22/4
'kades endah korupsi rina iriani',karanganyar,22/5/2013
'kades korup endah kasihani koruptor kelas kakap',karanganyar,22/5/2013
'andi ditahan kpk buka','',25/5/2013
'kasus bioremediasi sarat kriminalisasi','',18/4/2013
'kasus blbi kpk minta terang eks menko ekonomi dorodjatun','',7/5
'kasus century kpk periksa raden pardede','',27/5/2013
'kasus it universitas indonesia naik sidik','',6/5
'kasus korupsi kemenag kpk panggil priyo','',6/5
'kasus pt indoguna sidang','',16/4
'kasus tanah makam kpk cegah jabat kemendag',bogor,24/4
'kasus tpa jaksa tetap',bekasi,''
'jari cibadak bidik kasus korupsi',sukabumi,14/4
'korupsi bansos eks ketua dprd taban bui 4',denpasar,2/5/2013
'korupsi barengbareng 32 eks dprd gunungkidul vonis penjara',yogyakarta,2/5
'korupsi bingkis raya 3 pns',jayapura,18/6/2013
'korupsi bioremediasi ricksy vonis 5','',7/5/2013
'korupsi dana bansos caleg hanura ganjar 4 penjara',denpasar,2/5
'korupsi dana bansos kadis tuntut 46 penjara','seram bagian barat',6/8/2015
'korupsi jaksa data harta tenriadjeng',palopo,5/5/2013
'korupsi proyek rp 99 miliar wabup nias vonis 2 penjara','nias selatan',12/8
'korupsi tunjang wali kota sidang',medan,3/5
'letnan jenderal tni purnawirawan djadja suparman dakwa',surabaya,''
'direktur rsud jeblos penjara',trenggalek,8/8/2015
'ketua dprd nisel dakwa korupsi rp989','nias selatan',13/8/2015
'korupsi kades endah bilang stress',semarang,22/5/2013
'kapolri surat dakwa djoko susilo','',23/4/2013
'dakwa wahyu indra hadap ds','',25/4
'pasang suami istri jerat kasus korupsi',bojonegoro,25/4
'pelaku duga suap mandailing natal tiba kpk','mandailing natal',14/5/2013
'kasus korupsi unlam ditahan',banjarmasin,15/5
'skandal bank century yakin korupsi rencana','',5/5
'dakwa korupsi alquran tuntut 12 5',batu,6/5/2013
'pidana korupsi pimpin golkar pulau aru','kepulauan aru',14/4
'bupati tetap pimpin demokrat',batanghari,15/5/2013
'sangkut korupsi ketua mui kota bakal pecat',cilegon,22/8/2015
'rp12 triliun uang palsu sita ibu',bogor,''
'uang palsu pakai tipu',bogor,24/4
'dirjen pajak tangkap anak buah','jakarta timur',15/5
'hakim kartini vonis 8 penjara',semarang,''
'indoguna ikan rp13 miliar lhi af',medan,24/4
'jaksa indoguna suap lhi 8000 ton kuota sapi','',24/4
'lari uang rp 300 pt indoguna',medan,10/1/2013
'laglagi kpk tangkap pajak terima suap','jakarta timur',15/5
'nilai duit vitalia shesya fathanah','',6/5/2013
'pajak tangkap tang terima suap','jakarta timur',''
'staf kabupaten tangkap kait izin tanah',bogor,16/4/2013
'suap daging luthfi hasan janji rp 40 miliar',medan,24/4/2013
'suap lahan kpk 7',bogor,16/4/2013
'terima suap gawai pajak ancam pecat','jakarta timur',15/5
'suap ketua dprd ditahan 20',bogor,17/4/2013
'urun suap hakim setyabudi',bandung,8/5
'bos anak usaha pt indoguna kenal lutfhi fathanah','',1/5
'ibu tangga edar uang palsu rp12 triliun',bogor,30/4
'polisi sebar sketsa pelaku curanmor cilodong',depok,15/4
'tabrak tiang jambret bekuk','jakarta barat',18/4/2013
'2 19 pelaku begal tangkap',batam,24/8/2015
'jabat pemkot begal ramai',makassar,14/8/2015
'begal kalong tangkap',pekalongan,''
'bobol atm curi bawa kabur rp196',bandung,8/8/2015
'guru paud banda aceh duga culik','banda aceh',4/4/2013
'polda aceh usut motif culik skotlandia','',13/6
'polda ungkap culik modus tagih utang',bekasi,3/6
'polisi kejar culik asing aceh','aceh timur',11/6
