@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'derita aids daerah lonjak',sragen,18/3
'dpd sikapi keluh soal tembok lintas kereta api','bandar lampung',16/3
'makan ikan asin sulit',sukabumi,11/3/2016
cieunteung,bandung,13/12
'korban banjir imbau waspadai leptospirosis',yogyakarta,16/3
'ganjar dukung perda cabut bpjs rokok',jepara,15/3/2016
'februari puncak kasus dbd',bengkulu,''
'maret catat 100 kasus dbd',bengkulu,19/3
'status klb dbd cabut',bengkulu,19/3
'demam darah tewas anak',lumajang,''
'pagar nas kajati jatim rusak polisi kantongi tunjuk',surabaya,18/3/2016
'tuan festival busana warna alam 2016',banyuwangi,15/3/2016
'bocah satrio derita gizi buruk dunia',wakatobi,16/3/2016
'puluh ibu tangga kena hivaids',lebak,19/3
'bayi derita hydrocephalus dunia',bone,1/11/2015
'pantau vandalisme pasang 79 cctv taman kota',semarang,''
'tuduh bakar pasar wali kota cabut polisi',semarang,14/3/2016
'pemkot resmi gera disiplin',bandung,13/3
'41 makan daging antraks',pinrang,16/3/2016
'jalinsum bandarlampunglampung rusak parah','lampung selatan',19/3
'rusak jaksa anggota muda pancasila tangkap',surabaya,''
'4 buron pidana korupsi bank jateng tangkap kamar kos',batu,15/3/2016
'4 buron pidana korupsi rp 39 miliar samar guru tk',semarang,''
'suryadharma ali guna telepon tahan kpk','jakarta selatan',''
'bongkar suap damayanti kpk periksa sekjen dpr',semarang,''
'bupati bener riah ditahan kpk kasus duga suap dermaga','bener meriah',''
'buron kasus kredit fiktif bank jateng tangkap sumut',batu,15/3/2016
'kapal sekda buton ditahan kait korupsi dana bansos',kendari,18/3/2016
'sebut serah lhkpn masinton tunjuk bukti','',22/9/2015
'dprd malu minta kpk usut tuntas kasus proyek pulau seram',ambon,22/1/2016
'gubernur gatot pujo evy istri hukum korupsi',medan,''
'hakim vonis bebas dakwa korupsi dana dprd luwu timur','luwu timur',15/3/2016
'hary tanoe berondong 33 tanya 5 jam','',''
'namanama anggota dprd terima suap bank banten','',''
'kasus ups reserse kriminal panggil lulung','jakarta barat',''
'kpk geledah kantor balai nasional',pati,22/1/2016
'kpk jawab tuding beli yah ratna elu tanggepin','jakarta utara',''
'kpk periksa 6 anggota dprd musi banyuasin suap','musi banyuasin',25/2/2016
'kubu la nyalla aju gugat adil',surabaya,18/3/2016
'la nyalla massa pp geruduk jati jawa timur',surabaya,17/3
'la nyalla istana kait kisruh pssi','',''
'la nyalla status pesan',surabaya,18/3/2016
'la nyalla massa muda pancasila demo jati jatim',surabaya,16/3/2016
'la nyalla jaksa jaga polisi',surabaya,''
'wali kota 18 anggota dprd parepare vonis bebas',makassar,16/3/2016
'dukung la nyalla balas tuding kajati jatim libat kasus suap sumut',surabaya,7/3/2016
'vonis bebas eks kadishub hukum 4 penjara ma',merauke,16/3/2016
'skandal bank banten pimpin dprd terima suap',serang,1/12/2015
'soal duga korupsi transseram kpk geledah dirut usaha rekan','',22/1/2016
'suryadharma ali lari ugd rspad gatot soebroto','',11/1/2016
'vonis dasep jaksa aju banding','',''
'besuk tahan rutan medaeng kabur',surabaya,9/6/2012
'tahan buron lacak via sinyal ponsel',surabaya,9/6/2012
