air,ajar,aksi,alias,anak,ancam,anggota,aniaya,api,arah,ayat,bahan,bakar,banjir,bantu,bawa,beri,berita,bom,buah,bumi,bunuh,capai,daerah,daging,dakwa,dasar,data,daya,derajat,edar,ganja,gas,gempa,genang,geng,getar,gudang,guna,guncang,harap,hubung,hujan,hukum,indikasi,informasi,inisial,isi,jahat,jalur,jam,jaring,jenazah,jiwa,kabid,kabur,kait,kamar,kampung,kantor,kasus,kawan,kebun,kelompok,keluarga,kembang,kena,kendara,keroyok,ketua,kios,korupsi,kuat,landa,lantai,lari,laut,ledak,ledakan,letak,libat,lihat,lintas,luap,luas,luka,masyarakat,mata,mati,menahan,menang,menggerebek,menteri,mobil,motor,mukim,narkoba,nyata,olah,operasi,pabrik,padam,pajak,pakai,paksa,pelaku,penggerebekan,penjara,periksa,peristiwa,perkosa,pidana,pil,potensi,proyek,pusat,putus,rampas,rampok,razia,rendam,resah,richter,rugi,rusak,sabu,sebut,sekolah,senjata,sentimeter,sepeda,serah,sidik,sita,skala,suap,surat,tahan,tambah,tegas,tembak,temu,tenggara,terang,terima,teroris,terorisme,tiba,tim,timbul,tindak,tsunami,tuju,turun,uang,ungkap,unit,usaha,usia,vonis,wartawan,wilayah
17.051558,0,0,0,4.443564,4.49678,0,0,0,0,0,0,0,14.731241,0,0,0,0,0,0,0,0,4.443564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.749246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.101231,0,0,0,0,0,0,0,0,0,10.72124,0,0,0,0,0,0,0,0,0,0,0,6.13461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.548452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.908498,0,0,4.553446
0,0,0,0,0,0,0,0,0,10.201869,0,0,0,16.063541,0,0,0,0,0,0,0,0,10.357565,0,0,0,0,0,0,0,0,0,0,0,4.505203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.284439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.521977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.647378,4.630039,0,0,0,0,0,0,0,0,0,0,3.325686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.630039,0,0,0,0,0,0,0,0,0,0,0,0,4.952651,3.746522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.945083,0,0,0,0,4.068445,0,0,0,0
5.830751,3.395485,0,0,0,0,0,0,0,0,0,0,0,24.185926,0,0,0,0,0,0,0,0,2.957729,0,0,0,2.756427,0,0,0,0,0,0,0,20.379228,0,0,0,0,0,0,0,3.770831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.083324,0,0,0,0,0,0,0,2.924346,0,0,0,0,0,0,3.395485,0,0,0,0,0,3.770831,0,0,0,3.65523,5.78043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.328031,0,0,0,0,0,0,10.617331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.030868
8.75864,0,0,0,0,0,0,0,0,0,0,0,0,20.36992,3.56165,0,0,0,0,0,0,0,1.836054,3.89706,0,0,1.711093,0,0,0,0,0,0,0,6.385,0,0,0,0,0,0,1.96236,4.585229,0,0,0,0,0,0,0,0,0,0,5.644884,0,0,0,0,0,3.819351,0,0,0,0,0,0,0,0,0,0,0,0,0,6.043149,0,0,0,0,0,0,0,0,0,0,2.340799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.730079,0,0,0,0,0,0,4.429952,0,2.42714,0,2.065925,0,0,0,0,0,1.795737,1.815331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.028162,0,3.091886,3.747743,0,0,0,0,1.881456
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.826667,0,0,0,0,0,14.787429,0,0,0,0,0,0,0,0,0,0,0,0,37.995387,0,0,0,0,6.154781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.448214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.495991,0,0,7.495991,0,0,0,12.363667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.826667
0,0,0,0,8.545217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.076947,0,0,0,0,0,0,0,0,0,0,0,0,23.053398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.929883,0,0,0,0,0,0,0,0,0,0,0,0,4.713947,5.211706,0,0,0,0,0,0,0,0,0,0,0,4.488557,0,0,5.10817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.211706,5.610385,0,0,0,0,0,0,0,10.953425,0,0,0,0,0,0,0,0,0,5.10817,0,0,0,0,0,0,3.88881,0,0,0,0,0,0,4.713947,0,0,0,0,0,0,0,4.852098,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.648159,0,0,0,0,0,0,0,12.854361,15.766874,0,0,0,24.004335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.013209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.383063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.516087,0,0,0,0,0,0,0,16.705071,0,0,0,0,0,0,0,0,7.65539,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.836217,0,0,0,0,0,0,0,27.629161,13.841259,0,0,0,25.815853,0,0,6.481366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.278813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.481366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.966071,0,0,0,0,0,0,0,0,0,5.966071,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11803,0,0,0,0,0,0,0,0,0,0,0,0,25.700883,0,0,15.484307,0,0,11.709381,0,6.626886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.223129,0,0,12.009897,0,0,0,7.904874,0,6.001443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.324042,0,0,0,0,0,0,0,0,0,0,0,0,33.666076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.433524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.433524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.354744,0,9.324042,0,0,0,0,0,0,0,0,0,0,15.287886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.736683,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.348845,0,0,0,0,0,0,0,0,0,0,0,0,22.923608,0,0,7.050661,0,0,10.444048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.90228,0,0,0,7.310728,0,0,7.050661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.634959,0,6.834512,0,5.530332,0,0,0,0,0,0,0,6.222719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.490105,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.157777,0,0,0,0,0,0,0,0,0,0,0,9.044679,42.045061,0,0,0,0,3.346032,4.617387,0,3.87089,0,0,0,0,0,0,0,4.475834,0,0,0,0,0,0,3.505557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.760677,0,0,0,0,0,0,0,0,3.505557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.139762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.157777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.075178,0,0,0,0,0,0,0,0,0,0,0,0,0,3.760677,0,0,0,0,0,0,0,0,0,0,0,0,3.711302
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.742296,0,0,0,0,25.400407,0,0,6.377063,0,0,15.560779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86071,0,0,5.26708,6.612284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.102855,0,0,0,0,0,0,6.905539,0,0,0,0,0,0,0,0,0,0,0,10.848104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
