@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'tolak reklamasi teluk benoa 26 bendesa adat bakal demo',denpasar,18/3/2016
'tolak reklamasi teluk bona aksi damai taman tol bandara',tuban,20/3/2016
'gubernur bali demo ganggu',tuban,18/3/2016
'polisi siap water canon taman ngurah rai',denpasar,''
'27 adat demo tolak reklamasi teluk tanjung benoa',tuban,20/3/2016
'tolak reklamasi teluk benoa ratus bali turun',tuban,20/3/2016
'ogohogoh tolak reklamasi siap aksi taman ngurah rai',tuban,20/3/2016
'tolak reklamasi teluk benoa tambah',tuban,''
'reklamasi teluk benoa menteri siti nurbaya dengar suara masyarakat','',''
'tolak reklamasi bandara ngurah rai koordinasi aparat',denpasar,20/3/2016
'tolak reklamasi teluk benoa bali siap macet','',20/3/2016
'adat bali turun tolak reklamasi',tuban,20/3/2016
'250 hektar padi rusak banjir','',17/3/2016
'250 hektare sawah baubau rendam banjir','',''
'500 rendam',tasikmalaya,17/3
'36 titik bencana banjir kabupaten',bandung,15/3
'banjir bandang terjang',sukabumi,14/3/2016
banjir,bandung,12/3/2016
'banjir kabupaten ridwan kamil risak netizen',bandung,''
'banjir kabupaten surut jiwa',bandung,12/2/2016
'banjir kabupaten surut',bandung,14/3/2016
'banjir kabupaten kemensos beri bantu uang mobil tangki air',bandung,14/3/2016
'banjir landa pasaman 90 rendam air','pasaman barat',20/3
'banjir surut lapang bola dayeuhkolot mirip empang',bandung,12/3/2016
'citanduy luap rendam banjir',ciamis,17/3/2016
'ikat alumni sastra unpad buka posko peduli banjir',bandung,''
'laku aher cegah banjir',bandung,14/3/2016
'raya bojongsoangdayeuhkolot kendara',bandung,14/3/2016
'luap sungai rendam 500',tasikmalaya,17/3
'dulang rupiah bencana banjir',bandung,14/3/2016
'pemkot nilai serius tangani banjir',bandung,20/3
'ratus hektare sawah dampak banjir kabupaten',bandung,17/3
'ridwan kamil harap proyek tabir atasi banjir timur',bandung,15/3
'rusak terjang banjir',garut,19/3
'wilayah terjang banjir',ketapang,18/3/2016
'soal banjir ridwan kamil kota kabupaten',bandung,15/3/2016
'banjir teh',bandung,''
'sumur dampak banjir periksa',yogyakarta,12/3
'keluh pemkab tanggap bencana',bima,12/3/2016
'wilayah banjir luas bpbd walah distribusi logistik',bandung,13/3/2016
'masyarakat imbau waspadai bencana',sukabumi,19/3
'sumur dampak banjir periksa',yogyakarta,12/3
'30 periksa kait bentrokan',medan,30/1
'bentrok ranap riau puluh tangkap','indragiri hulu',''
'bentrok napi lapas rajabasa polisi','bandar lampung',20/3
'bentrokan okp polisi tetap 16',medan,1/2
'organisasi muda bentrok suasana cekam',medan,30/1
'organisasi bentrok sepakat tahan',medan,30/1
'hp napi lapas rajabasa bentrok','bandar lampung',18/3
'massa muda pancasila ipk bentrok 2 tewas',medan,30/1
'pascabentrokan tetap siaga',medan,30/1
'muda pancasila lsm manggala adu jotos',bandung,9/2
'polisi tangkap ratus libat bentrok',medan,31/1
'polisi tetap bentrokan lapas rajabasa','',18/3
'wakapolri kontak senjata dampak pilu',poso,8/2
'30 periksa kait bentrokan',medan,30/1
'organisasi muda bentrok suasana cekam',medan,30/1
'organisasi bentrok sepakat tahan',medan,30/1
'massa muda pancasila ipk bentrok 2 tewas',medan,30/1
'bupati bowa tolak rencana naik iur bpjs',gowa,''
'buruh tolak naik iur bpjs',banyumas,15/3
'iur bpjs naik ylki kontraproduktif empati','',''
'naik iur bpjs imbang layan',malang,1/4/2016
'tolak rencana naik premi bpjs',jombang,''
'ylki desak presiden batal naik iur bpjs mandiri','',''
'ylpk bali tolak naik iur bpjs','',18/3
'tanggung iur bpjs sehat miskin',indramayu,8/3
'bpjs sehat janji naik iur bareng layan','banda aceh',17/3
'tanggung iur bpjs sehat miskin',indramayu,8/3
'tolak naik bpjs pemprov jatim surati presiden','',1/4/2016
'naik sih layan bpjs',badung,1/4/2016
'tunggakan bpjs pesisir rp 745','pesisir selatan',4/6
'duga minum miras oplos tambang emas tewas',gorontalo,14/3/2016
'hilang karyawan cantik temu tewas kontra','',''
'identitas mayat kampus unesa ungkap',surabaya,23/4/2012
