@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'kira boneka nyata mayat bayi hanyut sungai',magelang,17/3/2016
'kirim bupati ajar antikorupsi ganjar harap maling',temanggung,20/3/2016
'derita aids daerah lonjak',sragen,18/3
'calo suai antre akta lahir kia cucu jokowi terbit',surakarta,14/3/2016
'produksi ore nikel sultra selundup labuh tikus',kolaka,20/6
'satpol pp bongkar bangun eks lokalisasi',banjarmasin,3/2
'relokasi pkl ridwan kamil janji promosi dagang',bandung,14/3
'anak harimau tmsbukittinggi beri thamrin sarinah','jakarta pusat',19/3
'perempuan foto syur anggota dprd nyawa ancam',pamekasan,17/3/2016
'ancam angin kencang',sleman,20/3
'luncur angkot gratis ajar',mojokerto,''
'60 angkot catat ilegal',bekasi,4/11
'antraks sebar luas sulbar minta temu gejala',pinrang,18/3/2016
'lab negatif 8 pasien duga antraks pulang',pinrang,20/3/2016
'periksa ivan haz mkd koordinasi polda',metro,''
'apbd bangkal bocor belas jabat periksa jaksa',bangkalan,''
'dana sejahtera masyarakat',belitung,''
'309 kelompok tani daftar asuransi tani',bandung,29/12
'lindungi tani lahan sawah asuransi',sukabumi,17/3
'20 hektare sawah asuransi',gorontalo,23/2
'jatim galak asuransi tani',malang,14/3/2016
'kapolri izin jasad siyono autopsi ulang',klaten,17/3/2016
'masya allah awan lafaz allah langit',yogyakarta,16/3
'jk 340 belanda cari malu jakarta','maluku tengah',17/3
'kinerja dprd kabupaten anggap mandul',bandung,5/1
'250 hektar padi rusak banjir','',17/3/2016
'250 hektare sawah baubau rendam banjir','',''
'500 rendam',tasikmalaya,17/3
'7 jembatan rusak banjir',sukabumi,11/3/2016
'36 titik bencana banjir kabupaten',bandung,15/3
'banjir bandang terjang',sukabumi,14/3/2016
'banjir bandang minta jembatan',sukabumi,15/3/2016
banjir,bandung,12/3/2016
'banjir kabupaten ridwan kamil risak netizen',bandung,''
'banjir kabupaten surut jiwa',bandung,12/2/2016
'banjir kabupaten surut',bandung,14/3/2016
'banjir kabupaten kemensos beri bantu uang mobil tangki air',bandung,14/3/2016
'banjir landa pasaman 90 rendam air','pasaman barat',20/3
'banjir surut lapang bola dayeuhkolot mirip empang',bandung,12/3/2016
'citanduy luap rendam banjir',ciamis,17/3/2016
'terjang banjir bandang jembatan roboh',bima,12/3/2016
'dpd sikapi keluh soal tembok lintas kereta api','bandar lampung',16/3
'ikat alumni sastra unpad buka posko peduli banjir',bandung,''
'makan ikan asin sulit',sukabumi,11/3/2016
'laku aher cegah banjir',bandung,14/3/2016
'luap sungai rendam 500',tasikmalaya,17/3
'dulang rupiah bencana banjir',bandung,14/3/2016
'pemkot nilai serius tangani banjir',bandung,20/3
'tani bantu benih padi gratis',tabalong,''
'ratus hektare sawah dampak banjir kabupaten',bandung,17/3
'ridwan kamil harap proyek tabir atasi banjir timur',bandung,15/3
'rusak terjang banjir',garut,19/3
'wilayah terjang banjir',ketapang,18/3/2016
'soal banjir ridwan kamil kota kabupaten',bandung,15/3/2016
'banjir teh',bandung,''
'sumur dampak banjir periksa',yogyakarta,12/3
cieunteung,bandung,13/12
'keluh pemkab tanggap bencana',bima,12/3/2016
'korban banjir imbau waspadai leptospirosis',yogyakarta,16/3
'wilayah banjir luas bpbd walah distribusi logistik',bandung,13/3/2016
'pemprov siap rp 43 miliar ganti rugi kek tanjung api',palembang,18/3
'ajar empati ratus siswa sd buku doa pasien rs',semarang,16/3/2016
'nenek saliyem pindah gubuk reyot',semarang,14/3/2016
'tawan order alat bantu 3',denpasar,16/3/2016
'lampu kota tapaktuan guna tenaga surya','aceh selatan',18/3
'batik butuh kenal',bekasi,19/3
'harga bbm turun sopir angkot ogah turun tarif',bandung,5/1
'harga bbm turun tarif angkot turun',medan,5/1
'pemkot pangkalpinang bedah 325 layak huni',bangka,16/3/2016
'karyawati bank begal rp 28 raib',ciamis,17/3
'melawan tangkap begal motor tembak polisi','lampung utara',27/7
'begal butuh biaya istri hamil',pontianak,12/3/2016
episode,boyolali,4/11/2010
'gunung dieng siaga',banjarnegara,30/5/2011
'pmi beri bantu korban longsor',mamuju,23/5/2010
'sembur gas resah majasari',majalengka,16/3/2016
'tanggul sungai jebol padi rendam lumpur',cilacap,17/3
'tni sergap sipil kontak senjata','puncak jaya',15/3
'30 periksa kait bentrokan',medan,30/1
'bentrok ranap riau puluh tangkap','indragiri hulu',''
'bentrok napi lapas rajabasa polisi','bandar lampung',20/3
'bentrokan okp polisi tetap 16',medan,1/2
'organisasi muda bentrok suasana cekam',medan,30/1
'organisasi bentrok sepakat tahan',medan,30/1
'hp napi lapas rajabasa bentrok','bandar lampung',18/3
'massa muda pancasila ipk bentrok 2 tewas',medan,30/1
'pascabentrokan tetap siaga',medan,30/1
'muda pancasila lsm manggala adu jotos',bandung,9/2
'polisi tangkap ratus libat bentrok',medan,31/1
'polisi tetap bentrokan lapas rajabasa','',18/3
'wakapolri kontak senjata dampak pilu',poso,8/2
'30 periksa kait bentrokan',medan,30/1
'organisasi muda bentrok suasana cekam',medan,30/1
'organisasi bentrok sepakat tahan',medan,30/1
'tewas tembak 4 wna kelompok santoso',poso,16/3/2016
'massa muda pancasila ipk bentrok 2 tewas',medan,30/1
'pascakontak senjata takut aktivitas',poso,19/1
'polda papua tambah persenonel sinak',jayapura,15/3
'polisi tembak mati tni gadungan curi motor',bandung,15/3
'baku tembak kelompok santoso lari hutan',poso,15/3/2016
'kelompok separatis papua ulah sipil tewas','puncak jaya',15/3/2016
'sby beri hormat jenazah sulistio',semarang,15/3/2016
'lepas jilbab',magelang,18/9/1993
'lintasi trek gunung gubernur ganjar gowes 40 km',semarang,20/3/2016
'modal rano karno tahan kursi gubernur banten','',15/3/2016
'agung podomoro group bagibagi voucher',surabaya,13/9/2012
'31 titik api pantau riau','kepulauan meranti',15/3/2016
'bupati bowa tolak rencana naik iur bpjs',gowa,''
'buruh tolak naik iur bpjs',banyumas,15/3
'iur bpjs naik ylki kontraproduktif empati','',''
'naik iur bpjs imbang layan',malang,1/4/2016
'tolak rencana naik premi bpjs',jombang,''
'ylki desak presiden batal naik iur bpjs mandiri','',''
'ylpk bali tolak naik iur bpjs','',18/3
'kritik atur rokok fasilitas bpjs sehat',salatiga,14/3/2016
'ganjar dukung perda cabut bpjs rokok',jepara,15/3/2016
'tanggung iur bpjs sehat miskin',indramayu,8/3
'serah buaya muara bksda',pontianak,19/3/2016
'gubernur sebut budaya pudar',gorontalo,''
'tokoh eksil indonesia ibrahim issa usia',baru,20/8/1930
'bumdes yakin wujud mandiri ekonomi',kendari,''
'martinus bercitacita negeri',depok,19/3/2016
'martinus tembak glock 19',yogyakarta,18/3/2016
'istri sakit suami temu',boalemo,14/3/2016
'jenazah remaja condongcatur temu enam jam tewas',depok,18/3/2016
'remaja tewas condongcatur siswa kelas ii sma de britto',depok,18/03/2016
'curiga ajar sma temu tewas condongcatur',depok,18/3/2016
'sekolah remaja tewas condongcatur cari keluarga',depok,18/03/2016
'profil bupati ogan ilir noviadi mawardi manja tua','ogan ilir',23/6/2015
'pasokan batas harga cabai batas melojak 100',belu,''
'car free day jakarta riah seni reog',ponorogo,20/3/2016
'kaltim alami cuaca panas ekstrim',samarinda,15/3/2015
'musim hujan soromandi kering',bima,14/3/2016
'terbang alih solo','jakarta selatan',30/10/2010
'transportasi udara ntt lumpuh total',kupang,17/1/2010
'masyarakat imbau waspadai bencana',sukabumi,19/3
'curi motor tembak polisi aksi',medan,17/3/2016
'libat curanmor pasang meni tahan',magelang,''
'harga daging ayam lonjak','gunung kidul',14/1
'bank jateng tangani cair dana',semarang,9/2
'dana belanja bandwidth internet smart kampung',banyuwangi,19/3/2016
'dana coret apbd dprd jabar protes',bandung,20/3
'mendes bangun soal dana','',15/12
'demam darah renggut nyawa enam anak',tulungagung,''
'februari puncak kasus dbd',bengkulu,''
'maret catat 100 kasus dbd',bengkulu,19/3
'status klb dbd cabut',bengkulu,19/3
'busyro mahfud md cs deklarasi jogja independent',yogyakarta,''
'demam darah tewas anak',lumajang,''
'kerap tilang ratus kemudi becak motor demo polisi',jombang,16/3/2016
'pagar nas kajati jatim rusak polisi kantongi tunjuk',surabaya,18/3/2016
'dagang kecewa pasar turi batal resmi',surabaya,18/3
'ppp jateng kirim surat jokowi ihwal gugat rp 1 triliun','jakarta pusat',17/3
'tolak reklamasi teluk benoa 26 bendesa adat bakal demo',denpasar,18/3/2016
'tolak reklamasi teluk bona aksi damai taman tol bandara',tuban,20/3/2016
'gubernur bali demo ganggu',tuban,18/3/2016
'puluh mahasiswa tuntut densus 88 bubar',medan,19/3
'polisi siap water canon taman ngurah rai',denpasar,''
'27 adat demo tolak reklamasi teluk tanjung benoa',tuban,20/3/2016
'ganjar deparpolisasi',temanggung,20/3/2016
'anggota dprd protes jatah makan',palopo,18/3
'ganjar sulistiyo dharma bhaktimu kenang',semarang,''
'bakar rsal mintohardjo humas polri','',''
'ketua pgri sulistyo',semarang,''
'bupati ajak sukses earth hour',sleman,19/3
'jabar earth hour hemat 90 megawatt',bandung,19/3
'earth hour 2016 pln bali prediksi turun beban 41 mw',denpasar,19/3/2016
'earth hour iniaksipontianak pusat masjid raya mujahidin',pontianak,19/3/2016
'earth hour pln imbau mati bumi',bandung,''
'earth hour pakai bali',denpasar,28/3
'gelar puncak ingat earth hour',padang,19/3/2016
'ratus lilin rang benteng rotterdam earth hour',makassar,19/3
'ratus padam lampu jam ingat earth hour',palu,19/3
'wagub jabar harap earth hour giat mata',bandung,''
'lihat jejak edelweiss','bener meriah',7/2/2016
'harga daging normal',binjai,''
'marahi ibu kandung pria bingung jaga anak rusak',bandung,17/3/2016
'bmkg imbau masyarakat panik equinox','',21/3/2016
'antisipasi erupsi lokon bpbd posko siaga',tomohon,19/3
'tuan festival busana warna alam 2016',banyuwangi,15/3/2016
'asap misterius tegal heboh',bangli,13/3/2016
'bmkg besok matahari',gorontalo,20/3
'kolaborasi jazz musik tradisional selamat gelar budaya madura',sumenep,18/10/2014
'segara lelanguan nusa fiesta','',30/10/2012
'bakal 25 vaksin flu burung',banyuwangi,''
'flu burung ternak rugi rp30',banyuwangi,''
'gilir minta daging ayam turun',karanganyar,25/8
'harga ayam kota turun',malang,''
'ternak ayam ancam rugi',sleman,3/2
