@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'11 jenazah korban heli tni jatuh evakuasi rsu poso',palu,''
'12 jenazah korban heli tni jatuh temu',palu,''
'13 celaka helikopter tni',poso,''
'13 tumpang helikopter tni ad jatuh nyata tewas',poso,''
'11 jenazah korban helikopter jatuh bawa rs',palu,20/3/2016
'daftar korban helikopter tni ad jatuh',poso,''
'helikopter jatuh kapendam wirabuana sebut kena petir',poso,20/3/2016
'helikopter tni ledak',poso,20/03/2016
'helikopter tni ad jatuh 10 menit darat',poso,20/3/2016
'helikopter tni ad jatuh 5 tumpang tewas',poso,20/3/2016
'helikopter tni ad jatuh duga sambar petir',poso,''
'helikopter tni ad jatuh',poso,''
'helikopter tni ad jatuh 13 tumpang kabar tewas',poso,''
'helikopter tni jatuh duga cuaca buruk',poso,20/3
'helikopter tni jatuh diam kolonel saiful penuh layat',palu,20/3/2016
'helikopter tniad jatuh pakai kejar kelompok santoso',poso,20/3/2016
'celaka helikopter tni ad 13 tewas',palu,20/3/2016
'kronologi jatuh helikopter tni ad tewas 5 perwira',poso,20/3/2016
'mabes ad kumpul informasi helikopter jatuh',poso,20/3
'mabes tni korban helikopter tni ad cari',poso,''
'pesawat tni ad jatuh wilayah rawan konflik',palu,20/3/2016
'jatuh rombong laku temu bahas operasi kejar santoso',poso,''
'tni investigasi sabotase',palu,''
'tolak reklamasi teluk benoa 26 bendesa adat bakal demo',denpasar,18/3/2016
'tolak reklamasi teluk bona aksi damai taman tol bandara',tuban,20/3/2016
'gubernur bali demo ganggu',tuban,18/3/2016
'polisi siap water canon taman ngurah rai',denpasar,''
'27 adat demo tolak reklamasi teluk tanjung benoa',tuban,20/3/2016
'tolak reklamasi teluk benoa ratus bali turun',tuban,20/3/2016
'ogohogoh tolak reklamasi siap aksi taman ngurah rai',tuban,20/3/2016
'tolak reklamasi teluk benoa tambah',tuban,''
'reklamasi teluk benoa menteri siti nurbaya dengar suara masyarakat','',''
'tolak reklamasi bandara ngurah rai koordinasi aparat',denpasar,20/3/2016
'tolak reklamasi teluk benoa bali siap macet','',20/3/2016
'adat bali turun tolak reklamasi',tuban,20/3/2016
'banjir bandang minta jembatan',sukabumi,15/3/2016
'terjang banjir bandang jembatan roboh',bima,12/3/2016
'usul jembatan seberang banyuwangibali',ketapang,17/3/2016
'jembatan hanyut taruh nyawa seberang sungai citalahab',sukabumi,11/3/2016
'jembatan hanyut taruh nyawa seberang sungai citalahab',sukabumi,11/3/2016
'harap jembatan rusak',sukabumi,17/3
'usul jembatan seberang banyuwangibali',ketapang,17/3/2016
'bakal 25 vaksin flu burung',banyuwangi,''
'flu burung ternak rugi rp30',banyuwangi,''
'ternak minta jaga unggas hindari h5n1',yogyakarta,11/6
'ternak unggas diy imbau brooder',yogyakarta,''
'puluh unggas muara teweh mati dadak','barito utara',''
'unggas mati kena flu burung lamongan',banyuwangi,16/3
'2015 kasus flu burung turun',sukabumi,14/7
'kalteng setop pasokan itik kalsel','palangka raya',12/3
'masyarakat kalsel takut makan daging unggas','',9/3
'pemprov kalsel saran lintas unggas',banjarmasin,''
'pengusahapeternak unggas sumbar imbau sinergi',padang,''
'wabah tetelo serang unggas tapanuli','tapanuli utara',7/7
'luncur angkot gratis ajar',mojokerto,''
'60 angkot catat ilegal',bekasi,4/11
'sebut tampar sopir angkot ridwan kamil perang tweet netizen',bandung,20/3
'diskominfo kota bantah ridwan kamil pukul sopir angkut',bandung,20/3/2016
'tuduh tampar sopir ridwan kamil polisi',bandung,''
'polisi soal duga pukul ridwan kamil',bandung,20/3/2016
'polda jabar ridwan kamil duga pukul',bandung,20/3/2016
'ridwan kamil bantah tampar sopir angkot',bandung,20/3
'ridwan kamil polisi sopir angkut',bandung,''
'angkut mogok titik kabupaten',semarang,19/11
'angkut tetap narik',serang,19/11
'angkut mogok usaha rugi',semarang,19/11
'kelola mogok sopir rugi trans metro',pekanbaru,22/11
