@relation LocationAndTimeAndSubtittle

@attribute subtittle string
@attribute location string
@attribute time string

@data
'kirim bupati ajar antikorupsi ganjar harap maling',temanggung,20/3/2016
'batik butuh kenal',bekasi,19/3
'kritik atur rokok fasilitas bpjs sehat',salatiga,14/3/2016
'menteri sehat 404 kabupaten alami gizi buruk','',''
'riah nonton gmt bukti',poso,10/3
'aktivis ham ingat 14 kasus hilang',surabaya,22/9/2012
'riau provinsi literasi indonesia','',18/3
'ganjar imbau satpol pp humanis',pati,16/3/2016
ingat,surabaya,15/3/2016
ingat,surabaya,15/3/2016
'fikri siksa buang nasi',malang,14/12/2013
'pt kai luncur lori wisata lintas jemberbanyuwangi',banyuwangi,20/3/2016
'wakapolri kontak senjata dampak pilu',poso,8/2
'ganjar bupati jateng sekolah kpk',temanggung,22/3/2016
'kampung iklim kampung ratus biopori',salatiga,16/3/2016
'pencil aceh alir','aceh selatan',18/1/2016
'jepang buka lowong ninja minat','',''
'rudiantara serah penanganan uber grabcar jonan','',''
'pacarun olahraga jodoh',bogor,''
'lantik risma bakal pakai sepatu eks dolly',surabaya,17/2
'jaga damai aceh','banda aceh',19/2
'ingat bahaya bencana pasang kawasan darajat',garut,19/3
'ridwan kamil kawal toilet lampu',bandung,14/12
'mahathir mohamad terima gelar doktor honoris causa umy',yogyakarta,20/12/1925
'umy beri gelar doktor hormat mahathir mohammad',yogyakarta,''
'menpan larang giat ganggu huni hotel',medan,27/12
'wanita hibur jalur sumbarriau',baru,12/3
'wanita hibur jalur sumbarriau',baru,12/3
'htbupati bicara soal pemberdayaan masyarakat',purbalingga,16/3/2016
'gusdurian kunjungi gereja natal',malang,25/12
'wisata bangsa sepi kunjung',situbondo,2/5/2015
'kerap tilang ratus kemudi becak motor demo polisi',jombang,16/3/2016
'istri paksa rsj bp3akbp gandeng polisi',semarang,15/3/2016
'mudik sepeda motor tewas tabrak bus','lampung selatan',''
'todong senjata istri pria gelandang polisi',bandung,''
'polres polisi masyarakat',tegal,19/3/2016
'tewas korban andal motor',garut,19/3
'aniaya kades ibu tangga adu lsm','',15/3/2016
'lepas pelaku kdrt polisi demo',bandung,16/3/2016
'suami tangkap istri tipu','aceh timur',25/2/2016
'polisi gagal selundup senjata api penjara lhokseumawe',langsa,14/3/2016
'polisi siap raya santa flores timur','flores timur',20/3/2016
'polisi selidiki praktik prostitusi apartemen',bandung,4/3
'polisi bali gelar razia antisipasi eksodus psk kalijodo',denpasar,26/2/2016
'polisi selidiki praktik prostitusi apartemen',bandung,4/3
'polisi pasang plang larang celaka sakit',sarmi,''
'kabur tahan pelaku aniaya polisi tangkap',batu,15/3/2016
'sosialisasi tertib berlalulintas polisi bagibagi helm bunga',manado,''
'bandar togel cokok polisi',manado,19/3
'calo suai antre akta lahir kia cucu jokowi terbit',surakarta,14/3/2016
'anak harimau tmsbukittinggi beri thamrin sarinah','jakarta pusat',19/3
'ajar empati ratus siswa sd buku doa pasien rs',semarang,16/3/2016
'sby beri hormat jenazah sulistio',semarang,15/3/2016
'profil bupati ogan ilir noviadi mawardi manja tua','ogan ilir',23/6/2015
'demam darah renggut nyawa enam anak',tulungagung,''
'lihat jejak edelweiss','bener meriah',7/2/2016
'bupati akui pasung daerah',pati,16/3/2016
'bayi miskin derita gizi buruk rawat','',''
'pria istri jawa homoseksual',bandung,''
'jenazah ketua pgri terbang',banjarnegara,15/3/2016
'gibran ndak usah pakai babysitter','',15/3/2016
'rintih anak bikin sunardi bangkit lumpuh','',17/3/2016
'30 kota kategori fakir miskin',cirebon,7/3
'ajar empati ratus siswa sd buku doa pasien rs',semarang,16/3/2016
'hancur raja wengker misteri mati raja ketut wijaya',ponorogo,''
'izin pulang cucu jokowi boyong','',15/3/2016
'sidak sakit jokowi',sumedang,''
'permen libido marak orangtua resah',sidoarjo,7/2/2013
'ngefans rhoma irama dokter udara radio soneta praktik',banyuwangi,28/6/2011
'layan dokumen duduk kabupaten nilai lamban',bandung,''
'takut emonnya',sukabumi,6/5/2014
'latifah culik takut main facebook',jombang,25/10
'tumor kaki kiri ifnatul golek lemah kurus kering',kediri,29/9/2014
'ifnatul gadis derita tumor tahan dukung kerabat',kediri,29/9/2014
